File;Sensitivity;Specificity;Accuracy;TP;FP;TN;FN
01_test.tif;0.8210597826086956;0.9584553440702782;0.9461965086677173;24172;12485;288035;5268
08_test.tif;0.3687343689457184;0.997847936306873;0.9437204509637532;10468;649;300922;17921
20_test.tif;0.5787760148361838;0.9865454129115622;0.9565583707116014;14044;4113;301582;10221
19_test.tif;0.7705966168572577;0.9843814547124978;0.9666474724208995;21092;4726;297863;6279
12_test.tif;0.4243243243243243;0.9908713968222377;0.9419535701297127;12089;2752;298718;16401
14_test.tif;0.6643925478876935;0.9857987424286887;0.9598133107043278;17724;4307;298976;8953
11_test.tif;0.48143132807474864;0.9905665715778857;0.944987271184386;14221;2834;297587;15318
09_test.tif;0.3997980628996672;0.9917056648824777;0.9437356043156746;10691;2515;300704;16050
10_test.tif;0.7008764177345707;0.9686529900529716;0.9466147411807492;19033;9492;293312;8123
03_test.tif;0.6899340285167057;0.9601504037809653;0.9332131167414232;22694;11838;285229;10199
16_test.tif;0.6795340874760833;0.9812239105304013;0.95398533155534;20244;5636;294533;9547
04_test.tif;0.38723067799960464;0.9923532906550603;0.9366862650018184;11754;2291;297315;18600
15_test.tif;0.6615567036503769;0.9819811585592761;0.959049581767487;15622;5520;300826;7992
13_test.tif;0.6189280510865185;0.9813571334997195;0.9459237483331313;19966;5550;292151;12293
02_test.tif;0.6387096774193548;0.993473343012459;0.9571432900957692;21582;1933;294237;12208
17_test.tif;0.596546029010484;0.9908112330689687;0.9575312159049582;16615;2776;299332;11237
06_test.tif;0.6056171378752024;0.9823934677213575;0.945720693417384;19450;5244;292600;12666
07_test.tif;0.6009551605200318;0.9810545415732735;0.9463207661534732;18120;5680;294128;12032
18_test.tif;0.5208843329253366;0.988404165679227;0.9513607710025458;13618;3523;300293;12526
05_test.tif;0.6232854554865425;0.9826917417939595;0.9490210934658746;19267;5176;293872;11645
