File;Sensitivity;Specificity;Accuracy;TP;FP;TN;FN
01_test.tif;0.529789402173913;0.994775722081725;0.9532882773669535;15597;1570;298950;13843
08_test.tif;0.16559230687942514;0.9987332999525816;0.9270517638501636;4701;382;301189;23688
20_test.tif;0.18813105295693386;0.9920803415168714;0.932958540429143;4565;2421;303274;19700
19_test.tif;0.28384056117788903;0.9930929412503429;0.934258698024003;7769;2090;300499;19602
12_test.tif;0.20842400842400843;0.9921915945201845;0.924518123408898;5938;2354;299116;22552
14_test.tif;0.265059789331634;0.9985623988156277;0.9392593041580798;7071;436;302847;19606
11_test.tif;0.24736788652290193;0.9926170274381618;0.9259001091041338;7307;2218;298203;22232
09_test.tif;0.10680228862047043;0.9925268535283079;0.9207449387804583;2856;2266;300953;23885
10_test.tif;0.4522757401679187;0.9891183736014055;0.9449357497878531;12282;3295;299509;14874
03_test.tif;0.24929316267898946;0.9984077665981075;0.9237301491089829;8200;473;296594;24693
16_test.tif;0.2959283004934376;0.9918579200383784;0.9290247302703358;8816;2444;297725;20975
04_test.tif;0.1482506424194505;0.9924701107454457;0.9148078554976361;4500;2256;297350;25854
15_test.tif;0.3895570424324553;0.9927924634237104;0.9496211662019639;9199;2208;304138;14415
13_test.tif;0.1018940450726929;0.9929593787054797;0.9058431325009092;3287;2096;295605;28972
02_test.tif;0.3576797869192069;0.9987270824188811;0.9330797672445145;12086;377;295793;21704
17_test.tif;0.07141318397242567;0.9986494895865055;0.9203812583343436;1989;408;301700;25863
06_test.tif;0.04639432058786897;0.9931809940774365;0.9010273972602739;1490;2031;295813;30626
07_test.tif;0.2762669143008756;0.9920916052940548;0.9266789913928961;8330;2371;297437;21822
18_test.tif;0.09952570379436965;0.9927126945256339;0.9219420535822523;2602;2214;301602;23542
05_test.tif;0.4221014492753623;0.990275808565849;0.9370469147775488;13048;2908;296140;17864
