File;Sensitivity;Specificity;Accuracy;TP;FP;TN;FN
01_test.tif;0.6915421195652174;0.9823805403966458;0.9564310825554613;20359;5295;295225;9081
08_test.tif;0.185353481982458;0.9986570326722397;0.9286822645169112;5262;405;301166;23127
20_test.tif;0.47533484442612817;0.9885048823173425;0.9507667596072251;11534;3514;302181;12731
19_test.tif;0.5249716853604179;0.9920221819035061;0.9532791853558007;14369;2414;300175;13002
12_test.tif;0.4658125658125658;0.9879158788602515;0.9428354952115408;13271;3643;297827;15219
14_test.tif;0.43565618322899874;0.9962411345179255;0.9509182931264396;11622;1140;302143;15055
11_test.tif;0.5105115271336199;0.986885071283299;0.9442386955994666;15080;3940;296481;14459
09_test.tif;0.20051606147862833;0.992203654784166;0.9280427930658262;5362;2364;300855;21379
10_test.tif;0.4662689645013993;0.9898317063182784;0.9467420293368893;12662;3079;299725;14494
03_test.tif;0.44009363694403064;0.9940956080614811;0.9388683476785065;14476;1754;295313;18417
16_test.tif;0.4321775032728005;0.9907518764429372;0.940320038792581;12875;2776;297393;16916
04_test.tif;0.42439217236608023;0.9901971255582331;0.9381470481270457;12882;2937;296669;17472
15_test.tif;0.5807148301854832;0.9841616995162332;0.9552885198205843;13713;4852;301494;9901
13_test.tif;0.4145819771226634;0.9902250916187718;0.9339465389744211;13374;2910;294791;18885
02_test.tif;0.5323764427345369;0.9958976263632373;0.9484301127409382;17989;1215;294955;15801
17_test.tif;0.17104696251615684;0.9984244045175897;0.9285852830646139;4764;476;301632;23088
06_test.tif;0.1469983808693486;0.9930097635003559;0.910664929082313;4721;2082;295762;27395
07_test.tif;0.43489652427699654;0.9886694150923258;0.9380652200266699;13113;3397;296411;17039
18_test.tif;0.20452111383108934;0.9920247781551992;0.9296278336768093;5347;2423;301393;20797
05_test.tif;0.4342003105590062;0.9906637061608838;0.9385319432658504;13422;2792;296256;17490
