File;Sensitivity;Specificity;Accuracy;TP;FP;TN;FN
01_test.tif;0.7560801630434782;0.9703447357912951;0.951227421505637;22259;8912;291608;7181
08_test.tif;0.28377188347599425;0.9972775896886636;0.9358891986907504;8056;821;300750;20333
20_test.tif;0.3536781372347002;0.9909812067583703;0.9441144381137108;8582;2757;302938;15683
19_test.tif;0.5440795002009426;0.9920122674651094;0.9548551339556309;14892;2417;300172;12479
12_test.tif;0.4421551421551422;0.9892261253192689;0.9419899381743242;12597;3248;298222;15893
14_test.tif;0.580799940023241;0.9900521954741941;0.9569644805430961;15494;3017;300266;11183
11_test.tif;0.5788618436643082;0.9811065138588847;0.9450963753182204;17099;5676;294745;12440
09_test.tif;0.30959949141767323;0.991652897740577;0.9363771366226209;8279;2531;300688;18462
10_test.tif;0.5885623803211076;0.9833654773384763;0.9508728330706753;15983;5037;297767;11173
03_test.tif;0.4366886571610981;0.9949674652519466;0.939313856224997;14364;1495;295572;18529
16_test.tif;0.429324292571582;0.9908185055751927;0.9401230452176021;12790;2756;297413;17001
04_test.tif;0.4566449232391118;0.9898099504015273;0.9407625166686872;13861;3053;296553;16493
15_test.tif;0.6166680782586601;0.9812369020649854;0.9551460783125227;14562;5748;300598;9052
13_test.tif;0.4377383055891379;0.9899429293149838;0.9359558734392047;14121;2994;294707;18138
02_test.tif;0.6067179638946434;0.9920417327886012;0.9525821311674142;20501;2357;293813;13289
17_test.tif;0.29441332758868305;0.9976597772981848;0.9382985816462601;8200;707;301401;19652
06_test.tif;0.17050691244239632;0.9930500530479043;0.9129894532670627;5476;2070;295774;26640
07_test.tif;0.5841735208278058;0.9754209360657488;0.9396684446599588;17614;7369;292439;12538
18_test.tif;0.5086826805385557;0.9878972799325908;0.9499272639107771;13299;3677;300139;12845
05_test.tif;0.5479748964803313;0.9862229474866911;0.945166080737059;16939;4120;294928;13973
